timestamp,trace_id,service,endpoint,method,status_code,latency_ms,severity,error_message,host,region
2026-05-20T04:49:26,1e46b63d-69eb-44e1-aa25-b612c58d692d,cart-api,/remove-cart,GET,200,234,INFO,,cart-api-pod-5,ap-south-1
2026-05-20T05:58:46,46a299e0-4223-435a-96e3-8fac12273d67,cart-api,/remove-cart,POST,200,88,INFO,,cart-api-pod-1,us-east-1
2026-05-17T16:26:27,505286f0-795b-498a-9f2b-1e24b1e6014e,auth-api,/login,POST,200,191,INFO,,auth-api-pod-1,eu-west-1
2026-05-18T08:32:51,9b573836-822a-46aa-a71e-0b7f51007d59,product-api,/search,GET,200,107,INFO,,product-api-pod-1,us-east-1
2026-05-22T23:41:55,6dd23a71-759c-4af3-b8b8-e1308a31cbb6,product-api,/search,POST,200,205,INFO,,product-api-pod-4,ap-south-1
2026-05-21T16:21:15,3dd20b68-daa9-42d3-98d7-ec39706a9834,payment-api,/process-payment,POST,200,235,INFO,,payment-api-pod-3,ap-south-1
2026-05-19T13:03:17,6c252059-65f9-4698-9e66-90407a01d5b4,auth-api,/logout,POST,200,121,INFO,,auth-api-pod-4,ap-south-1
2026-05-22T17:24:34,e2ed542d-6d58-4713-bae7-ba249899e61e,cart-api,/add-cart,GET,200,73,INFO,,cart-api-pod-4,eu-west-1
2026-05-19T09:23:42,8fda1452-332f-4812-8d43-9dadebf18b57,product-api,/search,GET,200,54,INFO,,product-api-pod-5,ap-south-1
2026-05-18T18:19:50,98177786-a394-4e4e-aecb-eeb4cfa90d90,order-api,/order-history,GET,200,159,INFO,,order-api-pod-2,us-east-1
2026-05-24T07:01:08,8c1131ff-7e57-407d-ab6b-29d12ed422a2,cart-api,/get-cart,GET,200,73,INFO,,cart-api-pod-1,eu-west-1
2026-05-23T18:46:53,2cf59328-2950-43df-a2f1-30af22f9d433,auth-api,/logout,POST,200,125,INFO,,auth-api-pod-3,ap-south-1
2026-05-17T17:20:43,81b8e012-db2a-4d9b-adc5-dcf5f3f707d9,payment-api,/process-payment,POST,200,223,INFO,,payment-api-pod-4,eu-west-1
2026-05-19T10:07:54,ca48f888-8f97-4d33-ad5a-48aa739c93a1,payment-api,/payment-status,POST,400,104,WARN,Invalid request payload,payment-api-pod-4,ap-south-1
